term	comparison	estimate	conf.low	conf.high	adj.p.value
supplement_consumed	Psyllium-BRMPS	-13.826687499999997	-32.66895364331882	5.015578643318831	0.4
supplement_consumed	Psyllium+BRMPS-BRMPS	-4.536687500000013	-23.37895364331884	14.305578643318814	1
supplement_consumed	transition_HiMaize-BRMPS	-0.8428356481481796	-15.464429345521822	13.778758049225463	1
supplement_consumed	HiMaize-BRMPS+Accessible	-3.841250000000036	-24.264260280267415	16.58176028026734	1
supplement_consumed	HiMaize+BRMPS-BRMPS+Accessible	-0.6718452380952744	-23.582998620364556	22.23930814417401	1
supplement_consumed	Inulin-BRMPS+Accessible	-0.515972222222252	-20.612193253456642	19.580248809012136	1
supplement_consumed	LOODAT-BRMPS+Accessible	2.869999999999963	-21.54016617570604	27.280166175705965	1
supplement_consumed	none-BRMPS+Accessible	3.2035227272727083	-19.48134211271381	25.88838756725923	1
supplement_consumed	Psyllium-BRMPS+Accessible	-10.435750000000018	-35.24941733240174	14.377917332401706	0.97
supplement_consumed	Psyllium+BRMPS-BRMPS+Accessible	-1.1457500000000345	-25.95941733240176	23.66791733240169	1
supplement_consumed	transition_HiMaize-BRMPS+Accessible	2.548101851851799	-19.23441626058227	24.330619964285873	1
supplement_consumed	HiMaize+BRMPS-HiMaize	3.1694047619047616	-15.436080598283908	21.77489012209343	1
supplement_consumed	Inulin-HiMaize	3.325277777777784	-11.678096373344122	18.32865192889969	1
supplement_consumed	LOODAT-HiMaize	6.711249999999999	-13.711760280267377	27.134260280267377	1
supplement_consumed	none-HiMaize	7.044772727272744	-11.281335124390203	25.37088057893569	0.98
supplement_consumed	Psyllium-HiMaize	-6.594499999999982	-27.49811745405387	14.309117454053904	1
supplement_consumed	Psyllium+BRMPS-HiMaize	2.695500000000002	-18.208117454053884	23.59911745405389	1
supplement_consumed	transition_HiMaize-HiMaize	6.389351851851835	-10.807195228909585	23.585898932613254	0.99
supplement_consumed	Inulin-HiMaize+BRMPS	0.15587301587302238	-18.0903001806226	18.402046212368646	1
supplement_consumed	LOODAT-HiMaize+BRMPS	3.541845238095237	-19.369308144174045	26.45299862036452	1
supplement_consumed	none-HiMaize+BRMPS	3.8753679653679827	-17.188056005789807	24.93879193652577	1
supplement_consumed	Psyllium-HiMaize+BRMPS	-9.763904761904744	-33.10448793935318	13.576678415543686	0.97
supplement_consumed	Psyllium+BRMPS-HiMaize+BRMPS	-0.47390476190476005	-23.81448793935319	22.86667841554367	1
supplement_consumed	transition_HiMaize-HiMaize+BRMPS	3.2199470899470732	-16.868428451614427	23.308322631508574	1
supplement_consumed	LOODAT-Inulin	3.3859722222222146	-16.710248809012175	23.482193253456604	1
supplement_consumed	none-Inulin	3.71949494949496	-14.24171268860952	21.68070258759944	1
supplement_consumed	Psyllium-Inulin	-9.919777777777766	-30.504237292026538	10.664681736471008	0.91
supplement_consumed	Psyllium+BRMPS-Inulin	-0.6297777777777824	-21.214237292026557	19.95468173647099	1
supplement_consumed	transition_HiMaize-Inulin	3.0640740740740506	-13.743066739555275	19.871214887703374	1
supplement_consumed	none-LOODAT	0.33352272727274546	-22.351342112713773	23.018387567259268	1
supplement_consumed	Psyllium-LOODAT	-13.305749999999982	-38.11941733240171	11.507917332401743	0.84
supplement_consumed	Psyllium+BRMPS-LOODAT	-4.015749999999997	-28.82941733240172	20.797917332401727	1
supplement_consumed	transition_HiMaize-LOODAT	-0.321898148148164	-22.104416260582237	21.460619964285907	1
supplement_consumed	Psyllium-none	-13.639272727272726	-36.75777109040124	9.47922563585579	0.73
supplement_consumed	Psyllium+BRMPS-none	-4.3492727272727425	-27.467771090401257	18.769225635855776	1
supplement_consumed	transition_HiMaize-none	-0.6554208754209094	-20.485321919082065	19.174480168240247	1
supplement_consumed	Psyllium+BRMPS-Psyllium	9.289999999999983	-15.920711220444	34.50071122044397	0.99
supplement_consumed	transition_HiMaize-Psyllium	12.983851851851817	-9.249905569601665	35.2176092733053	0.75
supplement_consumed	transition_HiMaize-Psyllium+BRMPS	3.693851851851833	-18.53990556960165	25.927609273305315	1
